,Site,Tag,Array,Genotype,NurseyGroup,FragID,T0_Method,T0_TLE,T0_SA,T0_V,T0_Vcx,T0_SAcx,T6_TLE,T6_SA,T6_V,T6_Vcx,T6_SAcx,T12_TLE,T12_SA,T12_V,T12_Vcx,T12_SAcx,T12_Dead,T12_TOD,CulumativeBreaks,T12_Status,X,T0_FieldTLE,T6_FieldTLE,T0_Vinter,T6_Vinter,T12_Vinter,TLE_0.6,SA_0.6,V_0.6,Vinter_0.6,SAtoV_0.6,TLE_6.12,SA_6.12,V_6.12,Vinter_6.12,SAtoV_6.12,TLE_0.12,SA_0.12,V_0.12,Vinter_0.12,SAtoV_0.12,SAtoTLE_0.6,SAtoTLE_6.12,SAtoTLE_0.12,FieldTLE_0.6,Status
60,E. Sambo,23,3,31,5,10,3D,9.805,37.138,10.547,19.063,42.948,35.596,120.281,33.795,183.611,178.622,58.387,175.118,40.694,322.18,254.796,0,13,0,A,,5.3,32.3,8.516,149.816,281.486,25.791,83.143,23.248,141.3,0.037945107,22.791,54.837,6.899,131.67,0.744151987,48.582,137.98,30.147,272.97,0.782097094,3.223721453,2.406081348,2.840146556,27,Unbroken
61,E. Sambo,24,3,62,10,14,3D,5.327,20.911,5.671,9.368,26.521,16.77,67.478,21.42,84.429,112.425,48.391,204.805,89.427,315.414,245.853,0,13,0,A,,6.2,12.7,3.697,63.009,225.987,11.443,46.567,15.749,59.312,-0.537123301,31.621,137.327,68.007,162.978,-0.860041427,43.064,183.894,83.756,222.29,-1.397164727,4.069474788,4.342905031,4.270248932,6.5,Unbroken
62,E. Sambo,26,3,41,7,13,3D,8.339,21.936,5.268,11.004,29.584,10.702,36.026,9.51,29.638,54.311,20.041,59.106,16.273,65.362,88.563,0,13,1,A,,11.3,10.2,5.736,20.128,49.089,2.363,14.09,4.242,14.392,-0.375786188,9.339,23.08,6.763,28.961,-0.156071507,11.702,37.17,11.005,43.353,-0.531857695,5.962759204,2.471356676,3.176380106,-1.1,Broken
63,E. Sambo,28,3,1,1,13,3D,13.008,40.764,10.968,28.369,54.321,30.277,98.512,29.423,141.631,145.341,57.105,207.44,64.148,292.168,228.076,0,13,0,A,,13.3,25.8,17.401,112.208,228.02,17.269,57.748,18.455,94.807,-0.368501182,26.828,108.928,34.725,115.812,-0.114357112,44.097,166.676,53.18,210.619,-0.482858294,3.344026869,4.060235575,3.77975826,12.5,Unbroken
64,E. Sambo,29,3,7,3,11,3D,8.118,33.176,7.223,14.18,36.574,18.336,66.27,21.48,73.219,102.965,54.356,180.056,51.166,294.289,232.836,0,13,0,A,,9.5,18.5,6.957,51.739,243.123,10.218,33.094,14.257,44.782,-1.507909827,36.02,113.786,29.686,191.384,0.433860092,46.238,146.88,43.943,236.166,-1.074049735,3.238794285,3.15896724,3.176607985,9,Unbroken
65,E. Sambo,30,3,44,8,14,3D,9.166,38.033,8.62,20.252,45.443,21.262,93.736,30.643,159.465,162.529,61.868,225.679,101.759,468.245,322.48,0,13,0,A,,10.4,20.9,11.632,128.822,366.486,12.096,55.703,22.023,117.19,-1.353211552,40.606,131.943,71.116,237.664,-0.841190159,52.702,187.646,93.139,354.854,-2.194401712,4.605076058,3.249347387,3.560510038,10.5,Unbroken
66,EDR,1,1,3,2,27,3D,4.693,19.098,3.019,6.524,22.007,4.619,25.857,5.942,17.995,40.541,25.649,102.569,19.507,97.31,115.849,0,13,1,A,,6.8,5,3.505,12.053,77.803,-0.074,6.759,2.923,8.548,-1.974370611,21.03,76.712,13.565,65.75,0.906496079,20.956,83.471,16.488,74.298,-1.067874532,-91.33783784,3.647741322,3.983155182,-1.8,Broken
67,EDR,4,1,31,5,27,3D,6.646,23.408,6.535,10.082,29.081,3.247,19.955,5.695,11.449,29.419,12.035,29.855,5.635,23.376,44.04,0,13,1,A,,7,4.1,3.547,5.754,17.741,-3.399,-3.453,-0.84,2.207,-0.077992548,8.788,9.9,-0.06,11.987,1.794185812,5.389,6.447,-0.9,14.194,1.716193264,1.015887026,1.126536186,1.196325849,-2.9,Broken
68,EDR,5,1,7,3,28,3D,10.097,40.458,9.646,22.884,48.548,15.373,62.457,24.07,46.667,71.666,24.765,67.688,16.75,63.834,89.095,0,13,0,A,partial mortality,11.6,19.8,13.238,22.597,47.084,5.276,21.999,14.424,9.359,-1.599470607,9.392,5.231,-7.32,24.487,1.446267813,14.668,27.23,7.104,33.846,-0.153202794,4.169636088,0.556963373,1.856422143,8.2,Unbroken
69,EDR,6,1,44,8,29,3D,4.849,23.887,5.63,12.494,33.032,1.253,15.245,4.499,7.367,27.599,12.385,42.336,9.025,32.581,55.85,0,13,1,A,,5.5,1.3,6.864,2.868,23.556,-3.596,-8.642,-1.131,-3.996,-0.85427561,11.132,27.091,4.526,20.688,1.302438744,7.536,18.449,3.395,16.692,0.448163135,2.403225806,2.433614804,2.448115711,-4.2,Broken
70,EDR,7,1,62,10,30,3D,9.5,34.036,7.962,16.639,37.299,0.558,9.552,1.778,3.49,18.29,4.816,19.851,6.281,11.937,34.367,0,13,1,A,,9.6,1.1,8.677,1.712,5.656,-8.942,-24.484,-6.184,-6.965,1.097523134,4.258,10.299,4.503,3.944,-2.21184446,-4.684,-14.185,-1.681,-3.021,-1.114321326,2.738089913,2.418741193,3.028394535,-8.5,Broken
71,EDR,9,1,50,9,29,3D,10.431,46.316,7.233,27.208,52.089,55.821,200.982,54.715,450.662,316.439,158.28,622.062,209.164,1774.978,766.994,0,13,0,A,,11,56.3,19.975,395.947,1565.814,45.39,154.666,47.482,375.972,-2.730176422,102.459,421.08,154.449,1169.867,-0.699212798,147.849,575.746,201.931,1545.839,-3.42938922,3.407490637,4.109741458,3.89414876,45.3,Unbroken
72,EDR,10,1,36,6,27,3D,5.683,25.804,6.918,10.071,28.828,10.284,53.147,15.766,50.933,80.744,34.012,146.759,40.762,174.922,165.507,0,13,0,A,,5.5,10,3.153,35.167,134.16,4.601,27.343,8.848,32.014,-0.35899156,23.728,93.612,24.996,98.993,0.229399413,28.329,120.955,33.844,131.007,-0.129592147,5.942838513,3.945212407,4.269653006,4.5,Unbroken
73,EDR,11,2,31,5,29,3D,13.117,35.282,9.747,25.412,50.996,40.079,132.264,33.503,218.378,192.296,5.911,44.9,8.999,32.546,61.352,0,13,1,A,,12.9,32.9,15.665,184.875,23.547,26.962,96.982,23.756,169.21,0.328045123,-34.168,-87.364,-24.504,-161.328,1.041617704,-7.206,9.618,-0.748,7.882,1.369662826,3.596988354,2.556895341,-1.334721066,20,Broken
74,EDR,15,2,41,7,30,3D,9.019,30.765,5.21,16.913,40.484,1.705,12.047,3.737,5.367,18.68,7.627,30.165,5.74,14.55,34.339,0,13,1,A,,10.6,2,11.703,1.63,8.81,-7.314,-18.718,-1.473,-10.073,-2.681281546,5.922,18.118,2.003,7.18,2.031517623,-1.392,-0.6,0.53,-2.893,-0.649763922,2.559201531,3.059439379,0.431034483,-8.6,Broken
75,EDR,18,2,7,3,29,3D,11.02,37.324,8.967,18.574,43.625,17.567,64.733,16.864,64.744,88.433,49.535,209.866,44.678,308.167,240.369,0,13,0,A,,11.9,19.4,9.607,47.88,263.489,6.547,27.409,7.897,38.273,-0.323841362,31.968,145.133,27.814,215.609,0.858768901,38.515,172.542,35.711,253.882,0.534927539,4.186497633,4.539946196,4.479864988,7.5,Unbroken
76,EDR,19,2,36,6,28,3D,6.32,20.433,4.399,8.192,25.624,2.959,29.401,8.723,19.851,45.832,6.011,76.812,25.032,56.489,81.399,0,13,1,A,,7.1,2.3,3.793,11.128,31.457,-3.361,8.968,4.324,7.335,-1.274404569,3.052,47.411,16.309,20.329,-0.301962478,-0.309,56.379,20.633,27.664,-1.576367047,-2.668253496,15.53440367,-182.4563107,-4.8,Broken
77,EDR,20,2,44,8,28,3D,7.633,33.542,7.821,21.461,50.286,12.474,51.531,14.85,47.134,75.012,55.535,230.382,52.102,410.72,290.136,0,13,1,A,,8.4,11.9,13.64,32.284,358.618,4.841,17.989,7.029,18.644,-0.818608874,43.061,178.851,37.252,326.334,0.951648635,47.902,196.84,44.281,344.978,0.133039761,3.715967775,4.153433501,4.109222997,3.5,Broken
78,EDR,21,3,36,6,29,3D,9.55,35.168,9.047,18.397,45.879,12.313,43.505,13.381,38.559,65.291,32.243,136.874,36.263,177.75,176.052,0,13,1,A,,9.6,13.9,9.35,25.178,141.487,2.763,8.337,4.334,15.828,-0.636003669,19.93,93.369,22.882,116.309,0.523229101,22.693,101.706,27.216,132.137,-0.112774568,3.017372421,4.684846964,4.481822588,4.3,Broken
79,EDR,23,3,31,5,30,3D,12.011,35.74,9.554,25.215,51.595,44.729,130.446,36.538,219.84,196.362,125.356,268.198,48.487,561.32,354.041,0,13,0,A,,10.7,45.6,15.661,183.302,512.833,32.718,94.706,26.984,167.641,-0.170695383,80.627,137.752,11.949,329.531,1.961192148,113.345,232.458,38.933,497.172,1.790496765,2.894614585,1.708509556,2.050888879,34.9,Unbroken
80,EDR,26,3,3,2,29,3D,16.847,56.023,11.915,40.088,67.59,37.773,136.155,39.925,210.753,191.287,107.193,487.266,120.061,1068.912,541.81,0,13,0,A,,16.4,42.2,28.173,170.828,948.851,20.926,80.132,28.01,142.655,-1.291619121,69.42,351.111,80.136,778.023,0.648217681,90.346,431.243,108.146,920.678,-0.64340144,3.829303259,5.057778738,4.773238439,25.8,Unbroken
81,EDR,27,3,50,9,24,3D,21.925,69.814,16.726,47.958,74.728,51.138,163.868,48.808,270.862,232.317,114.061,526.127,149.129,1226.554,607.934,0,13,0,A,,20.5,55,31.232,222.054,1077.425,29.213,94.054,32.082,190.822,-0.816580203,62.923,362.259,100.321,855.371,0.170598823,92.136,456.313,132.403,1046.193,-0.64598138,3.219594016,5.75717941,4.952602674,34.5,Unbroken
82,EDR,28,3,41,7,29,3D,8.917,25.905,4.723,18.059,43.742,21.275,81.189,27.475,88.57,115.209,43.42,141.236,33.406,333.252,277.301,0,13,0,A,,11.8,22.8,13.336,61.095,299.846,12.358,55.284,22.752,47.759,-2.529847668,22.145,60.047,5.931,238.751,1.272849609,34.503,115.331,28.683,286.51,-1.256998059,4.473539408,2.711537593,3.342636872,11,Unbroken
83,EDR,29,3,1,1,28,3D,12.456,44.91,9.848,27.385,52.59,34.895,114.974,37.875,154.121,154.697,102.26,399.927,117.403,827.593,464.198,0,13,0,A,,14.4,31.7,17.537,116.246,710.19,22.439,70.064,28.027,98.709,-1.524699654,67.365,284.953,79.528,593.944,0.370829011,89.804,355.017,107.555,692.653,-1.153870643,3.122420785,4.229985898,3.953242617,17.3,Unbroken
84,Looe Key,2,1,3,2,3,3D,8.66,38.515,9.06,20.434,45.263,1.562,8.847,2.065,3.324,13.228,9.144,26.07,5.485,16.998,36.008,0,13,1,A,,9.6,2.1,11.374,1.259,11.513,-7.098,-29.668,-6.995,-10.115,0.033157748,7.582,17.223,3.42,10.254,0.468701124,0.484,-12.445,-3.575,0.139,0.501858873,4.179768949,2.271564231,-25.71280992,-7.5,Broken
85,Looe Key,4,1,31,5,1,3D,7.818,29.072,5.566,13.197,34,11.304,43.192,9.627,35.669,61.122,29.093,90.721,22.457,116.919,130.245,0,13,0,A,,9.3,11.2,7.631,26.042,94.462,3.486,14.12,4.061,18.411,-0.736592246,17.789,47.529,12.83,68.42,-0.446783366,21.275,61.649,16.891,86.831,-1.183375612,4.050487665,2.671819664,2.897720329,1.9,Unbroken
86,Looe Key,5,1,50,9,1,3D,8.547,40.71,8.575,24.921,54.798,2.227,13.339,3.811,6.223,19.224,11.974,31.767,6.199,20.41,39.942,0,13,1,A,,9.7,2.6,16.346,2.412,14.211,-6.32,-27.371,-4.764,-13.934,-1.247390667,9.747,18.428,2.388,11.799,1.624405016,3.427,-8.943,-2.376,-2.135,0.37701435,4.33085443,1.890633015,-2.609571053,-7.1,Broken
87,Looe Key,8,1,1,1,3,3D,7.276,37.988,11.971,22.017,46.816,2.095,19.122,5.475,10.659,29.384,7.924,22.894,5.377,9.182,23.928,0,13,1,A,,6.7,2.2,10.046,5.184,3.805,-5.181,-18.866,-6.496,-4.862,0.319267179,5.829,3.772,-0.098,-1.379,0.765161813,0.648,-15.094,-6.594,-6.241,1.084428992,3.641381973,0.647109281,-23.29320988,-4.5,Broken
88,Looe Key,9,1,7,3,2,3D,8.106,27.389,8.522,16.31,37.716,0.532,4.106,0.802,1.075,6.389,4.878,11.444,2.969,4.866,16.103,0,13,1,A,,6.9,1.3,7.788,0.273,1.897,-7.574,-23.283,-7.72,-7.515,1.905783827,4.346,7.338,2.167,1.624,-1.265204285,-3.228,-15.945,-5.553,-5.891,0.640579543,3.074069184,1.688449149,4.939591078,-5.6,Broken
89,Looe Key,11,2,7,3,1,3D,11.296,40.351,13.845,27.512,55.342,21.559,91.812,25.234,147.681,155.293,0.1,4.123,0,0,4.123,0,13,1,A,,10.7,24.5,13.667,122.447,0,10.263,51.461,11.389,108.78,0.723942586,-21.459,-87.689,-25.234,-122.447,Inf,-11.196,-36.228,-13.845,-13.667,Inf,5.01422586,4.086350715,3.235798499,13.8,Broken
90,Looe Key,12,2,1,1,1,3D,8.359,34.854,10.422,23.343,48.866,19.484,67.379,18.801,71.88,95.768,24.851,93.06,22.87,75.55,96.528,0,13,0,A,partial mortality,6.4,20.1,12.921,53.079,52.68,11.125,32.525,8.379,40.158,0.239527001,5.367,25.681,4.069,-0.399,0.485287405,16.492,58.206,12.448,39.759,0.724814406,2.923595506,4.784982299,3.529347562,13.7,Unbroken
91,Looe Key,13,2,41,7,3,3D,4.481,16.077,3.265,5.953,19.951,11.418,40.104,10.809,39.369,68.1,27.693,75.169,20.01,88.227,109.742,0,13,0,A,,6.4,11.7,2.688,28.56,68.217,6.937,24.027,7.544,25.872,-1.213801414,16.275,35.065,9.201,39.657,0.046330249,23.212,59.092,16.745,65.529,-1.167471165,3.46360098,2.15453149,2.545752197,5.3,Unbroken
92,Looe Key,14,2,13,4,3,3D,6.102,23.174,4.996,10.162,28.44,1.696,9.875,3.232,4.106,15.071,3.089,6.023,0.912,2.147,9.123,0,13,1,A,,7.8,1.8,5.166,0.874,1.235,-4.406,-13.299,-1.764,-4.292,-1.583127145,1.393,-3.852,-2.32,0.361,3.548783003,-3.013,-17.151,-4.084,-3.931,1.965655858,3.018384022,-2.765254846,5.692333223,-6,Broken
93,Looe Key,15,2,31,5,2,3D,3.597,13.672,2.338,4.874,17.219,3.794,19.704,5.53,12.313,31.771,18.583,56.486,17.067,51.34,75.097,0,13,1,A,,4.4,4,2.536,6.783,34.273,0.197,6.032,3.192,4.247,-2.284622798,14.789,36.782,11.537,27.49,-0.253448387,14.986,42.814,14.729,31.737,-2.538071185,30.61928934,2.487118805,2.856933138,-0.4,Broken
94,Looe Key,16,2,3,2,2,3D,13.395,48.462,11.756,37.445,64.814,26.617,94.974,28.33,148.006,155.217,56.254,227.458,80.22,394.448,281.018,0,13,1,A,,13.4,27,25.689,119.676,314.228,13.222,46.512,16.574,93.987,-0.769902586,29.637,132.484,51.89,194.552,-0.516990357,42.859,178.996,68.464,288.539,-1.286892943,3.517773408,4.470223032,4.176392356,13.6,Broken
95,Looe Key,19,2,44,8,4,3D,7.68,32.809,6.836,14.51,37.231,9.038,36.278,12.951,29.823,54.599,26.26,91.045,37.788,99.793,113.47,0,13,1,A,,8.8,8.1,7.674,16.872,62.005,1.358,3.469,6.115,9.198,-1.998270465,17.222,54.767,24.837,45.133,-0.391810894,18.58,58.236,30.952,54.331,-2.390081359,2.5544919,3.180060388,3.134337998,-0.7,Broken
96,Looe Key,20,2,50,9,2,3D,13.52,67.59,17.599,50.891,79.052,42.731,170.894,50.069,360.22,292.25,74.48,296.57,102.497,626.445,427.274,0,13,0,A,,13.8,45.8,33.292,310.151,523.948,29.211,103.304,32.47,276.859,-0.427389297,31.749,125.676,52.428,213.797,-0.519719286,60.96,228.98,84.898,490.656,-0.947108583,3.536475985,3.958423887,3.756233596,32,Unbroken
97,Looe Key,22,3,44,8,3,3D,4.069,22.917,5.686,9.277,26.232,1.199,11.972,3.966,4.983,17.586,6.249,15.734,4.844,7.681,21.753,0,13,1,A,,5.4,1.6,3.591,1.017,2.837,-2.87,-10.945,-1.72,-2.574,-1.011767009,5.05,3.762,0.878,1.82,0.229483433,2.18,-7.183,-0.842,-0.754,-0.782283575,3.81358885,0.744950495,-3.294954128,-3.8,Broken
98,Looe Key,28,3,36,6,3,3D,6.932,26.616,5.895,12.08,33.227,0.495,7.27,1.299,2.063,12.157,0.1,3.25,0,0,3.25,0,13,2,A,,8.5,0.7,6.185,0.764,0,-6.437,-19.346,-4.596,-5.421,1.081600056,-0.395,-4.02,-1.299,-0.764,Inf,-6.832,-23.366,-5.895,-6.185,Inf,3.005437316,10.17721519,3.420081967,-7.8,Broken
99,Looe Key,29,3,7,3,3,3D,8.22,28.178,8.829,20.65,45.365,19.397,70.104,21.439,79.73,101.898,46.125,163.882,59.734,229.903,197.337,0,13,1,A,,8.8,19.2,11.821,58.291,170.169,11.177,41.926,12.61,46.47,0.078400715,26.728,93.778,38.295,111.878,-0.526398987,37.905,135.704,50.905,158.348,-0.447998271,3.751096001,3.508605208,3.580108165,10.4,Broken
100,Looe Key,30,3,3,2,1,3D,8.209,35.154,8.608,20.387,46.495,4.605,27.699,8.23,21.102,45.051,14.427,50.556,16.243,46.013,71.358,0,13,1,A,,8.9,3.6,11.779,12.872,29.77,-3.604,-7.455,-0.378,1.093,-0.718261856,9.822,22.857,8.013,16.898,-0.253134387,6.218,15.402,7.635,17.991,-0.971396243,2.068534961,2.327122786,2.477002252,-5.3,Broken
101,Marker 32,1,1,50,9,25,3D,5.76,28.913,6.987,11.708,30.51,34.227,124.509,28.172,212.69,192.248,139.295,513.038,146.201,1236.274,592.41,0,13,0,A,,6.6,34.4,4.721,184.518,1090.073,28.467,95.596,21.185,179.797,0.281487383,105.068,388.529,118.029,905.555,-0.910473178,133.535,484.125,139.214,1085.352,-0.628985795,3.35813398,3.697881372,3.625454001,27.8,Unbroken
102,Marker 32,2,1,44,8,26,3D,8.093,33.425,8.163,19.186,44.333,20.768,74.506,21.463,103.298,125.053,69.825,272.908,83.884,535.008,346.65,0,13,0,A,,10,22.5,11.023,81.835,451.124,12.675,41.081,13.3,70.812,-0.623326244,49.057,198.402,62.421,369.289,-0.217971784,61.732,239.483,75.721,440.101,-0.841298029,3.241104536,4.044315796,3.879398043,12.5,Unbroken
103,Marker 32,3,1,36,6,24,3D,6.455,32.361,9.641,16.325,39.818,21.039,87.873,30.605,128.679,148.404,48.134,187.898,77.68,353.985,278.319,0,13,0,A,,6.3,21,6.684,98.074,276.305,14.584,55.512,20.964,91.39,-0.485404495,27.095,100.025,47.075,178.231,-0.45232522,41.679,155.537,68.039,269.621,-0.937729716,3.806363138,3.691640524,3.731783392,14.7,Unbroken
104,Marker 32,5,1,41,7,24,3D,4.482,18.016,3.253,10.316,29.406,15.758,51.814,10.993,53.105,84.701,44.115,121.514,25.958,239.868,211.36,0,13,0,A,,6.2,16.9,7.063,42.112,213.91,11.276,33.798,7.74,35.049,-0.824909315,28.357,69.7,14.965,171.798,-0.032185763,39.633,103.498,22.705,206.847,-0.857095078,2.997339482,2.457946891,2.611409684,10.7,Unbroken
105,Marker 32,6,1,3,2,24,3D,4.69,20.433,3.632,7.33,23.591,17.436,67.543,17.338,80.071,103.312,54.287,191.445,69.366,309.933,240.775,0,13,0,A,,6.1,20.9,3.698,62.733,240.567,12.746,47.11,13.706,59.035,-1.730163285,36.851,123.902,52.028,177.834,-1.135737094,49.597,171.012,65.734,236.869,-2.865900379,3.696061509,3.362242544,3.448031131,14.8,Unbroken
106,Marker 32,7,1,13,4,25,3D,4.268,10.982,2.224,3.902,15.361,8.503,32.116,7.972,30.391,55.836,19.452,60.983,12.797,77.119,99.369,0,13,1,A,,6.2,11.5,1.678,22.419,64.322,4.235,21.134,5.748,20.741,-0.90934954,10.949,28.867,4.825,41.903,0.736813669,15.184,50.001,10.573,62.644,-0.172535871,4.990318772,2.636496484,3.293005796,5.3,Broken
107,Marker 32,8,1,62,10,23,3D,9.83,37.709,9.923,22.26,NA,35.8,139.914,46.829,259.246,224.048,102.706,362.735,114.954,911.682,519.405,0,13,0,A,,9.3,36.4,12.337,212.417,796.728,25.97,102.205,36.906,200.08,-0.812397249,66.906,222.821,68.125,584.311,0.167715591,92.876,325.026,105.031,784.391,-0.644681658,3.935502503,3.330359011,3.499569318,27.1,Unbroken
108,Marker 32,9,1,7,3,25,3D,4.763,25.433,6.236,9.562,26.914,14.069,51.173,15.122,56.539,82.538,43.034,150.454,56.503,224.062,191.815,0,13,0,A,,5.9,17.1,3.326,41.417,167.559,9.306,25.74,8.886,38.091,-0.694405599,28.965,99.281,41.381,126.142,-0.721248782,38.271,125.021,50.267,164.233,-1.415654382,2.765957447,3.427619541,3.266729377,11.2,Unbroken
109,Marker 32,10,1,31,5,24,3D,11.717,32.173,8.194,18.454,44.053,1.697,14.261,3.895,6.798,25.968,19.916,70.332,12.697,47.286,74.392,0,13,1,A,,11,2.2,10.26,2.903,34.589,-10.02,-17.912,-4.299,-7.357,-0.265048849,18.219,56.071,8.802,31.686,1.877900524,8.199,38.159,4.503,24.329,1.612851675,1.78762475,3.077611285,4.654104159,-8.8,Broken
110,Marker 32,11,2,31,5,26,3D,10.01,30.585,7.632,20.057,44.845,0.57,3.992,0.955,1.177,7.895,10.262,26.253,5.43,14.388,33.21,0,13,1,A,,9.7,1,12.425,0.222,8.958,-9.44,-26.593,-6.677,-12.203,0.172636159,9.692,22.261,4.475,8.736,0.654701918,0.252,-4.332,-2.202,-3.467,0.827338076,2.817055085,2.296842757,-17.19047619,-8.7,Broken
111,Marker 32,12,2,36,6,25,3D,5.661,23.075,5.607,10.721,29.528,10.114,58.596,17.3,75.276,104.528,40.554,181.742,74.262,295.531,236.058,0,13,0,A,,5.7,9.5,5.114,57.976,221.269,4.453,35.521,11.693,52.862,-0.728339452,30.44,123.146,56.962,163.293,-0.939743844,34.893,158.667,68.655,216.155,-1.668083296,7.976869526,4.045532194,4.547244433,3.8,Unbroken
112,Marker 32,13,2,3,2,26,3D,6.583,28.745,5.727,12.302,34.411,10.511,30.354,8.453,22.629,45.045,34.509,87.331,18.709,85.558,104.665,0,13,1,A,,7.6,10.8,6.575,14.176,66.849,3.928,1.609,2.726,7.601,-1.428292796,23.998,56.977,10.256,52.673,1.07694592,27.926,58.586,12.982,60.274,-0.351346876,0.409623218,2.37423952,2.097901597,3.2,Broken
113,Marker 32,15,2,44,8,27,3D,10.864,32.577,8.13,13.664,36.963,1.366,12.557,2.647,5.987,21.074,34.604,112.252,23.674,111.369,124.334,0,13,1,A,,8.2,3.3,5.534,3.34,87.695,-9.498,-20.02,-5.483,-2.194,0.736849905,33.238,99.695,21.027,84.355,-0.002287941,23.74,79.675,15.544,82.161,0.734561964,2.107812171,2.999428365,3.356149958,-4.9,Broken
114,Marker 32,16,2,62,10,27,3D,5.203,21.872,4.687,7.46,23.247,10.742,51.407,16.128,54.804,82.342,31.969,141.164,56.113,196.646,178.344,0,13,0,A,,7,12,2.773,38.676,140.533,5.539,29.535,11.441,35.903,-1.479086433,21.227,89.757,39.985,101.857,-0.671728624,26.766,119.292,51.426,137.76,-2.150815057,5.332189926,4.228435483,4.45684824,5,Unbroken
115,Marker 32,18,2,41,7,27,3D,7.475,27.097,5.051,15.341,36.547,24.014,79.878,21.86,105.807,123.762,41.515,122.691,25.982,169.632,166.002,0,13,0,A,,8.7,26.9,10.29,83.947,143.65,16.539,52.781,16.809,73.657,-1.710608898,17.501,42.813,4.122,59.703,1.068082436,34.04,95.594,20.931,133.36,-0.642526463,3.191305399,2.446317353,2.808284371,18.2,Unbroken
116,Marker 32,21,3,36,6,26,3D,9.049,38.181,10.241,18.979,45.191,15.694,76.375,22.036,96.501,122.527,49.123,209.874,96.528,380.549,274.554,0,13,0,A,,8.6,16.2,8.738,74.465,284.021,6.645,38.194,11.795,65.727,-0.26232979,33.429,133.499,74.492,209.556,-1.291690165,40.074,171.693,86.287,275.283,-1.554019955,5.747780286,3.99350863,4.284398862,7.6,Unbroken
117,Marker 32,23,3,13,4,27,3D,3.64,10.287,1.978,3.318,14.209,1.519,7.949,2.176,3.271,12.891,8.596,24.441,5.872,15.83,36.414,0,13,1,A,,5.3,2,1.34,1.095,9.958,-2.121,-2.338,0.198,-0.245,-1.547674697,7.077,16.492,3.696,8.863,0.509262552,4.956,14.154,3.894,8.618,-1.038412145,1.102310231,2.330365974,2.855932203,-3.3,Broken
118,Marker 32,26,3,44,8,25,3D,8.833,40.482,10.056,27.709,58.021,24.576,92.505,24.769,116.122,134.805,61.175,211.667,68.096,367.999,276.959,0,13,0,A,,9.4,25.3,17.653,91.353,299.903,15.743,52.023,14.713,73.7,-0.290947616,36.599,119.162,43.327,208.55,-0.626346984,52.342,171.185,58.04,282.25,-0.9172946,3.304516293,3.255881308,3.270509342,15.9,Unbroken
119,Marker 32,28,3,62,10,26,3D,6.2,27.015,6.772,11.809,31.253,14.673,64.002,20.117,74.459,100.155,50.153,170.054,61.404,252.71,213.95,0,13,0,A,,5.4,16,5.037,54.342,191.306,8.473,36.987,13.345,49.305,-0.807732025,35.48,106.052,41.287,136.964,-0.412059592,43.953,143.039,54.632,186.269,-1.219791617,4.365277942,2.989064262,3.254362615,10.6,Unbroken
120,Marker 32,29,3,3,2,25,3D,9.697,37.05,7.85,19.385,43.789,4.061,20.43,4.506,11.896,30.639,11.581,43.684,15.138,36.218,60.562,0,13,1,A,,7.7,4.6,11.535,7.39,21.08,-5.636,-16.62,-3.344,-4.145,-0.185790496,7.52,23.254,10.632,13.69,-1.648236667,1.884,6.634,7.288,9.545,-1.834027162,2.948899929,3.092287234,3.521231423,-3.1,Broken
121,Marker 32,30,3,31,5,25,3D,6.441,29.383,9.253,17.925,39.434,28.53,95.727,23.119,120.656,130.821,59.036,153.14,30.432,311.321,252.022,0,13,0,A,,6.2,28.1,8.672,97.537,280.889,22.089,66.344,13.866,88.865,0.965109624,30.506,57.413,7.313,183.352,0.891582675,52.595,123.757,21.179,272.217,1.856692299,3.003485898,1.882023209,2.353018348,21.9,Unbroken
122,Maryland Shoals,1,1,31,5,22,3D,13.515,36.531,10.075,26.256,52.962,0.14,0.396,0.009,0.037,0.837,0.835,1.89,0.206,0.477,3.663,0,13,1,A,,12.5,NA,16.181,0.028,0.271,-13.375,-36.135,-10.066,-16.153,40.37409429,0.695,1.494,0.197,0.243,-34.82524272,-12.68,-34.641,-9.869,-15.91,5.548851574,2.701682243,2.149640288,2.731940063,NA,Broken
123,Maryland Shoals,2,1,41,7,22,3D,11.637,41.405,8.592,37.957,65.811,30.554,108.502,25.905,166.564,167.744,50.952,170.283,35.859,338.349,261.189,0,13,1,A,,13.5,29.4,29.365,140.659,302.49,18.917,67.097,17.313,111.294,-0.630559864,20.398,61.781,9.954,161.831,0.560224512,39.315,128.878,27.267,273.125,-0.070335352,3.546915473,3.028777331,3.278087244,15.9,Broken
124,Maryland Shoals,3,1,3,2,23,3D,8.941,30.089,6.352,13.83,34.559,4.266,23.032,5.683,13.071,35.303,20.003,59.999,12.591,44.071,67.486,0,13,1,A,,8.4,3,7.478,7.388,31.48,-4.675,-7.057,-0.669,-0.09,-0.684144229,15.737,36.967,6.908,24.092,0.712440112,11.062,29.91,6.239,24.002,0.028295883,1.509518717,2.34905001,2.703851022,-5.4,Broken
