,Site,Tag,Array,Genotype,NurseyGroup,FragID,T0_Method,T0_TLE,T0_SA,T0_V,T0_Vcx,T0_SAcx,T6_TLE,T6_SA,T6_V,T6_Vcx,T6_SAcx,T12_TLE,T12_SA,T12_V,T12_Vcx,T12_SAcx,T12_Dead,T12_TOD,CulumativeBreaks,T12_Status,X,T0_FieldTLE,T6_FieldTLE,T0_Vinter,T6_Vinter,T12_Vinter,TLE_0.6,SA_0.6,V_0.6,Vinter_0.6,SAtoV_0.6,TLE_6.12,SA_6.12,V_6.12,Vinter_6.12,SAtoV_6.12,TLE_0.12,SA_0.12,V_0.12,Vinter_0.12,SAtoV_0.12,SAtoTLE_0.6,SAtoTLE_6.12,SAtoTLE_0.12,FieldTLE_0.6,Status
14,Big Pine,5,1,36,6,10,3D,7.188,26.784,5.999,12.03,33.184,10.487,48.982,13.359,51.841,80.364,26.377,102.815,30.129,145.354,149.532,0,13,0,A,,8.5,11.4,6.031,38.482,115.225,3.299,22.198,7.36,32.451,-0.798152313,15.89,53.833,16.77,76.743,-0.254098864,19.189,76.031,24.13,109.194,-1.052251177,6.728705668,3.387853996,3.962217937,2.9,Unbroken
15,Big Pine,7,1,1,1,10,3D,6.131,22.559,4.656,8.376,26.248,18.514,57.735,16.253,52.161,76.499,49.153,145.857,40.048,171.878,160.77,0,13,1,A,,7.8,21.2,3.72,35.908,131.83,12.383,35.176,11.597,32.188,-1.292878774,30.639,88.122,23.795,95.922,0.089787261,43.022,123.298,35.392,128.11,-1.203091514,2.840668659,2.876138255,2.86592906,13.4,Broken
16,Big Pine,9,1,7,3,9,3D,4.726,19.814,3.473,6.389,21.613,14.67,54.852,15.315,51.679,78.595,29.173,120.083,38.28,164.435,161.678,0,13,0,A,,5.9,17.6,2.916,36.364,126.155,9.944,35.038,11.842,33.448,-2.123567366,14.503,65.231,22.965,89.791,-0.444622207,24.447,100.269,34.807,123.239,-2.568189573,3.523531778,4.497759084,4.101484845,11.7,Unbroken
17,Big Pine,10,1,3,2,9,3D,5.377,25.846,6.584,12.233,32.539,24.783,78.115,20.74,111.26,127.403,32.393,96.157,23.193,207.655,212.385,0,13,0,A,,7.2,25.7,5.649,90.52,184.462,19.406,52.269,14.156,84.871,-0.159183714,7.61,18.042,2.453,93.942,0.379555766,27.016,70.311,16.609,178.813,0.220372052,2.693445326,2.370827858,2.602568848,18.5,Unbroken
18,Big Pine,11,2,44,8,12,3D,7.612,20.447,3.569,11.921,31.682,3.138,24.11,7.219,16.182,41.846,15.923,68.728,32.728,70.249,90.47,0,13,1,A,,8.1,3,8.352,8.963,37.521,-4.474,3.663,3.65,0.611,-2.389258002,12.785,44.618,25.509,28.558,-1.2398222,8.311,48.281,29.159,29.169,-3.629080202,-0.818730443,3.489870943,5.809288894,-5.1,Broken
19,Big Pine,12,2,31,5,8,3D,6.254,20.826,4.233,8.511,26.062,26.469,81.918,21.746,113.208,136.946,35.519,93.572,22.67,191.258,191.73,0,13,0,A,partial mortality,7.1,25.1,4.278,91.462,168.588,20.215,61.092,17.513,87.184,-1.152877338,9.05,11.654,0.924,77.126,0.360531859,29.265,72.746,18.437,164.31,-0.792345479,3.022112293,1.287734807,2.485767982,18,Unbroken
20,Big Pine,13,2,50,9,8,3D,7.457,36.505,10.091,20.389,47.253,25.773,79.61,21.966,95.912,126.388,56.625,171.703,43.834,369.102,278.829,0,13,0,A,,8.7,26.3,10.298,73.946,325.268,18.316,43.105,11.875,63.648,0.006657436,30.852,92.093,21.868,251.322,0.292881673,49.168,135.198,33.743,314.97,0.299539109,2.353406857,2.984992869,2.749715262,17.6,Unbroken
21,Big Pine,14,2,36,6,9,3D,4.698,19.322,3.56,6.749,22.915,15.943,68.709,21.774,100.684,124.545,32.094,134.758,52.281,225.52,197.872,0,13,0,A,,5.7,13.2,3.189,78.91,173.239,11.245,49.387,18.214,75.721,-2.271975596,16.151,66.049,30.507,94.329,-0.577981292,27.396,115.436,48.721,170.05,-2.849956888,4.391907514,4.089468144,4.213607826,7.5,Unbroken
22,Big Pine,16,2,3,2,8,3D,10.321,41.352,10.505,23.152,51.143,9.19,39.679,14.311,36.268,64.937,28.833,95.691,24.808,116.337,127.735,0,13,1,A,,11.1,10.6,12.647,21.957,91.529,-1.131,-1.673,3.806,9.31,-1.163788774,19.643,56.012,10.497,69.572,1.084641328,18.512,54.339,14.303,78.882,-0.079147447,1.479221927,2.851499262,2.935339239,-0.5,Broken
23,Big Pine,17,2,13,4,8,3D,5.995,24.358,4.997,8.816,28.459,1.284,9.797,2.741,3.984,17.811,9.682,23.277,4.594,12.753,30.096,0,13,1,A,,7.8,2.2,3.819,1.243,8.159,-4.711,-14.561,-2.256,-2.576,-1.300281738,8.398,13.48,1.853,6.916,1.492583318,3.687,-1.081,-0.403,4.34,0.19230158,3.090851199,1.605144082,-0.293192297,-5.6,Broken
