Colony,Number of Photos,TLE,SA,V,Vcx,Vinter
WS25_T12,120,26.547,85.829,25.735,85.375,59.64
WS26_T12,121,24.823,132.864,52.853,160.742,107.889
WS27_T12,112,8.675,50.742,23.018,37.732,14.714
WS28_T12,114,10.338,43.02,14.114,30.827,16.713
WS2_T12col,84,51.274,212.574,95.116,359.043,263.927
WS3_T12col,90,45.611,171.158,69.121,305.271,236.15
WS4_T12col,120,54.332,198.117,56.907,385.792,328.885
WS5_T12col,102,29.656,97.277,24.85,121.439,96.589
WS6_T12col,136,47.053,219.821,72.938,361.855,288.917
WS7_T12col,73,20.086,69.126,31.989,90.515,58.526
WS8_T12col,142,26.631,129.363,65.037,172.255,107.218
WS9_T12col,114,29.22,113.947,36.367,120.448,84.081
